Provider	Marketplace Page	Logo	Tagline
Accuweather	https://marketplace.databricks.com/provider/f0a29bd4-946b-477e-a43a-1c3f2a6e6506/AccuWeather	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_f0a29bd4-946b-477e-a43a-1c3f2a6e6506/547593ce-2cf2-4555-b09f-05e1e5e7dbc0?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=78a034e8a87450b6407ec25deb2281b695f9cfc59cd48da073013724ad4f0637	We combine weather data, technology, and human insight to improve lives and businesses.
Acxiom	https://marketplace.databricks.com/provider/4fa755b1-5455-402f-bfc6-355fe4b9e3ae/Acxiom-LLC	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_4fa755b1-5455-402f-bfc6-355fe4b9e3ae/42226fc5-c4e4-4cf7-bc70-0a19c048e94a?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=bdd729f6b832fae3ad499694293f10ecf37abd3f741d63c2b8377e8884855bbe	Acxiom is a customer intelligence company that provides data-driven solutions to enable the world’s best marketers to better understand their customers to create better experiences and business growth. A leader in customer data management, identity, and the ethical use of data for more than 50 years, Acxiom now helps thousands of clients and partners around the globe work together to create millions of better customer experiences, every day. Acxiom is a registered trademark of Acxiom LLC and is part of The Interpublic Group of Companies, Inc. (IPG).
Alesco Data	https://marketplace.databricks.com/provider/823e3773-e44f-49e6-b518-d370a4c795c5/Alesco-Data	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_823e3773-e44f-49e6-b518-d370a4c795c5/eff67a58-20c5-4f24-be19-02e519010712?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86399&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8371276fe62146d965df8ccca835c3e285b6303527727a7025c1603738fbc619	The Alesco Team is comprised of seasoned data professionals, most with over 30 years of industry experience. Sound data strategies and passion for exceeding customer expectations are part of our DNA. We have helped thousands of clients create optimized target audiences for their direct marketing campaigns. Our full range of big data assets provides you with high quality data that is accurate, affordable, and targeted. Leverage the power of an on-premises data install for omnichannel marketing, ID graphs as well as data enhancements for your 1st party data allowing you to curate valuable customer insights. Our identity solutions support this objective by incorporating a consolidated process that delivers the ‘Single-Intelligent View’ of each CRM record – yielding higher match rates that produce more reliable media consumption and performance!
AnalyticsIQ	https://marketplace.databricks.com/provider/b00629fd-5915-4791-9af9-47a1b65a20ed/AnalyticsIQ	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_b00629fd-5915-4791-9af9-47a1b65a20ed/602d7c38-dc2d-4f6b-b44f-659a3f01d386?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f6e5bac723731f13100b777b2796fc9f03f76a350920af627147c3bebe02a2c8	We are the first data company to consistently blend cognitive psychology with sophisticated data science to help you understand the who, what and why behind individuals and the decisions they make every day - whether at home as consumers or at work as professionals.
AnalyticsIQ	https://marketplace.databricks.com/provider/fd998f62-e4e7-4c6a-be02-c86368fca7f4/AnalyticsIQ	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_b00629fd-5915-4791-9af9-47a1b65a20ed/602d7c38-dc2d-4f6b-b44f-659a3f01d386?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f6e5bac723731f13100b777b2796fc9f03f76a350920af627147c3bebe02a2c8	AnalyticsIQ is the leading offline people-based data creator and predictive analytics innovator. We are the first data company to consistently blend cognitive psychology with sophisticated data science to help B2C and B2B organizations across industries understand who people are, what they do, and why they make decisions – regardless of whether at home as consumers or at work as professionals. Our PeopleCore consumer data, BusinessCore B2B data, and Connection+ B2B2C linkages provide insight into individuals that empower organizations to achieve better outcomes for all. Our fast and flexible approach makes it easy for organizations to get started using sophisticated data to grow their business. Whether you’re looking to improve your marketing results across channels, build predictive models, power research, or drive better outcomes, AnalyticsIQ can be your partner. For more information, visit https://analytics-iq.com/ and follow us on Twitter @AnalyticsIQ and LinkedIn.
APISCRAPY	https://marketplace.databricks.com/provider/0d0525cc-908f-4b19-8928-6b9c47c0a5fb/APISCRAPY	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_0d0525cc-908f-4b19-8928-6b9c47c0a5fb/30fc90fd-cd8b-4c11-9b38-a7b53f8811ea?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=5459977ba6321da544463832d35e1ae5d15b98e2859f590398bb2801a17276d8	APISCRAPY is an AI-driven web scraping and automation platform converting any web data into ready-to-use data API. Other Data Solutions from AIMLEAP: AI-Labeler: AI-augmented annotation & labeling tool AI-Data-Hub: On-demand data for building AI products & services PRICE-SCRAPY: AI-enabled real-time pricing tool API-KART: AI-driven data API solution hub  About AIMLEAP AIMLEAP is an ISO 9001:2015 and ISO/IEC 27001:2013 certified global technology consulting and service provider offering AI-augmented Data Solutions, Data Engineering, Automation, IT and Digital Marketing services. AIMLEAP is certified as ‘The Great Place to Work®’. Since 2012, we have successfully delivered projects in IT & digital transformation, automation-driven data solutions, and digital marketing for 750+ fast-growing companies globally. Locations: USA: 1-30235 14656 Canada: +1 4378 370 063 India: +91 810 527 1615 Australia: +61 402 576 615
aterio.io	https://marketplace.databricks.com/provider/880a243e-7a4c-4949-b389-e1abc4110411/aterioio	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_880a243e-7a4c-4949-b389-e1abc4110411/ca6f4352-9c86-47e2-a3a9-fb36f3b34267?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d836344a857aafeda19cd85f37ed3b679737af89f11942915e5ada17855e9775	Advance Data and Insights in the US Real Estate Market available to investors, developers, and city officials for better investment decisions and returns.
AWIS Weather Services	https://marketplace.databricks.com/provider/51711a88-a4a2-434f-a884-464f2ecbaaa1/AWIS-Weather-Services		AWIS Weather Services has provided quality controlled weather data & local forecasts to clients all over the world, for over 25 years. We take pride in our precision, accuracy, & attention to detail. Our mission is to provide quality weather data and to help you understand the weather's impact on your business. We help you protect yourself and prepare for weather events by providing powerful forecasts of proven value. Our clean weather data helps you discover the impact of past weather on your business operations and how that can impact the future. Since 1996, AWIS has grown from its original focus of providing weather services to the agricultural business to other economic sectors including Energy providers, retail analytics, local municipal governments, construction project management, event planning, & fortune 100 business analytics. Put one of our meteorologists on your team!
BatchService	https://marketplace.databricks.com/provider/990ef53c-49a8-4671-ae33-20f854cfd94a/BatchService	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_990ef53c-49a8-4671-ae33-20f854cfd94a/3d0e736e-404a-4fe7-ba09-ce31b18fb142?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=2f889ffd9dc4f3a43f15b83472143a561f6631c17f85a44a46316f053bc3ea55	A certified Great Place to Work, BatchService is a real estate data and technology company. We provide visibility into real estate assets through real-time property intelligence, empowering real estate professionals to better identify opportunities and directly engage with property owners, investors, and agents. BatchService provides a suite of tools to manage client records, organize lists, comp properties, and surface investor insights. Our developer-friendly API endpoints fuel innovation for the proptech ecosystem.
BIGDBM	https://marketplace.databricks.com/provider/7624320d-dddb-4b09-abe2-92d0a7630860/BIGDBM	https://marketplace-file-storage-prod.s3.us-east-1.amazonaws.com/PROVIDER_ICON/PROVIDER_7624320d-dddb-4b09-abe2-92d0a7630860/60c87651-ea51-48e7-b341-9a58feeda9b7?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDnVzLWVhc3QtMS1maXBzIkcwRQIhAK6lBE19WHrp026BDg0rxnKyEqucDYgI7soaf%2FctancrAiB6hlv6D%2BGJ5sddh6NsZRrcsijuQI9byOSS%2FLt1Uux%2Btiq2Agj1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAAaDDQxNDM1MTc2NzgyNiIMt7WgRITWYWlGegICKooCqdE3yXWFnNVLdL7vpDZIAwsA1OO2uui4oaIKJ4RyRKjky0ZsV%2FK83F7p5TBxGbrVSrTl7RboZKFbZgaL2XDpyEqcgCRSbdMMhAe9byIfW9BQGusvbFjzjVqFBYXTXij46%2F9UDYvgpOhTm5BnlyW7Qd1Wdh5Q5IGPerUthOeOnF6c61B5xHzXZf9ozq0BSH%2F62tPXSKDorpLJQhnjWuDRW7GkSmKtXh%2BV3gFXO2AeugfCIfZRgpOph%2FvgSY4i%2FU%2Bj3riiqA2eD4g%2FT%2FCY7UD4VK4QWrvVHuD7oeITmbTnmnX%2BBVp2V4hWueJ2hDzhlYbvTmm4oCDXb48b8GASpE5s0jK3uHxwaY%2BoLyowm9ujqwY6nQGtoDEenGO87LsN71NGVQCvK043CmZ4r1clC%2Fsw209ZUsJN3daltmqUfGDRUDKay34d%2BxW3%2FB7vG5L2IFjPhd3SFSRj3AvvOkq13elcB3EUkBqx8%2BYImGEGZItQTGQnFFd%2B0OMwsOIuCtRp7YnDeTq4tQMoh9%2Bd6doQqKSHR83YivP2PDB6ekTo%2BwtNi8RVzlu73spkJiMzNnXmTF%2F7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231130T201627Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Credential=ASIAWA6KKHEJA4WN43UZ%2F20231130%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=76fa46cdb2ddab7771768bba33f1e6f91c02caee6a3bea568fd522819b32ce73	BIGDBM delivers a seamless identity connection that provides our customers with the ability to engage consumers on the right device, at the right moment, with the right message. Using one of the largest data warehouses in the world, our validated identity resolution graph creates a complete and accurate individual and household profile. Our customer types include marketing and advertising, recruitment, data modeling, B2B lead generation, B2C lead generation, identity verification, investment intelligence, and risk management. Additionally, BIGDBM provides software development on top of our highly accurate big data for a competitive advantage. BIGDBM Services: • Software development on top of Big Data • Highly accurate data​: Consumer, Device, B2B2C, Property, Automobile, Email, Phone, and others • Identity Resolution • Data market via self-service apps: List Select, Email Recency Validation, Append, and Reverse Append • Behavioral insights & analytics • Consumer intent data
